ID,logID,byWho,comment,commentDate,deleted,response,responseDate
534,679,abdelkhalek.ma,need to do IQOQPQ protocol and close out and update validation master plan before start of production and the product will be hold untill the close out approved , update maintanance system,2/27/2013,0,,
535,647,elsisy.aa,there is no MSDS attached on the CMR. Please attach it.,2/27/2013,0,,
536,721,elsisy.aa,I need to cleafay some points. please invite to short meeting.,2/27/2013,0,,
537,673,elsisy.aa,THE TRU NAME IS 3M(TM) SCOTCH -Weld(TM) Metal Instant Adhesive MC100,2/27/2013,0,,
538,675,elsisy.aa,THE RIGHT NAME    IS         OMEGA 690,2/27/2013,0,,
539,690,elsisy.aa,THE RUGHT NAME IS   Hercules Series Gear Oils - 1 thru 8A,2/27/2013,0,,
540,684,elsisy.aa,the name is 5100,2/27/2013,0,,
541,676,elsisy.aa,THE NAME IS  Omega 58,2/27/2013,0,,
542,685,elsisy.aa,THE NAME IS   Capella WF 32,2/27/2013,0,,
543,687,elsisy.aa,THE NAME IS   SILICONE SEALANT ACETOXY WHITE #100807,2/27/2013,0,,
544,665,elsisy.aa,THE NAME IS  MOBILUBE HD 85W-140,2/27/2013,0,,
545,654,elsisy.aa,THE NAME IS  Organic Mixture,2/27/2013,0,,
546,660,elsisy.aa,THE NAME IS   CRC INDUSTRIES (AUST) PTY LIMITED,2/27/2013,0,,
547,671,elsisy.aa,THE NAME IS  OMEGA 606 Multi-Grade Hydraulic Oil,2/27/2013,0,,
548,663,elsisy.aa,THE NAME IS  OMEGA 606 Multi-Grade Hydraulic Oil,2/27/2013,0,,
549,669,elsisy.aa,THE NAME IS OMEGA 690 Super EP Water Resistant Gear Oil,2/27/2013,0,,
550,662,elsisy.aa,THE NAME IS  QD? Contact Cleaner (aerosol),2/27/2013,0,,
551,661,elsisy.aa,THE NAME IS  QD? Contact Cleaner (aerosol),2/27/2013,0,,
552,667,elsisy.aa,THE NAME IS  OMEGA 605 Superior Airline Lubricant,2/27/2013,0,,
553,658,elsisy.aa,THE NAME IS   OMEGA 605 Superior Airline Lubricant,2/27/2013,0,,
554,681,elsisy.aa, THE NAME IS 5182,2/27/2013,0,,
555,666,elsisy.aa, THE NAME IS  Omega 77,2/27/2013,0,,
556,682,elsisy.aa,THE NAME IS  5132-4,2/27/2013,0,,
557,674,elsisy.aa,THE NAME IS   DELO SYNTHETIC TRANSMISSION FLUID SAE 50,2/27/2013,0,,
558,683,elsisy.aa,THE NAM IS  5157E,2/27/2013,0,,
559,637,elsisy.aa,THE NAME IS   S4602,2/27/2013,0,,
560,639,elsisy.aa,THE NAME IS  HOT-MELT PL501ZK or SAFEMELT PL501ZK,2/27/2013,0,,
561,640,elsisy.aa,THE NAME IS  Hyfol PP FEM-A,2/27/2013,0,,
562,643,alrashiedy.si,Osama, for some reason this did not pass by me for approval. We need to see electrical drawing and samples has to be reviewed by launch team before any clearance for installation anything in PSG.,3/3/2013,0,Sarah, we have done our review on the process and all of the new changes,9/23/2013
563,742,elsisy.aa,wate is the jop of splice units ?,3/3/2013,0,,
564,720,abdelkhalek.ma,close area and isolate project area,3/4/2013,0,,
565,721,osman.mm,Mousa, the attached protocol not the last updated one,3/4/2013,0,,
566,717,osman.mm,need more clarifications,3/4/2013,0,,
567,721,assemkamel.mm,is this to take place in the addmix system?,3/5/2013,0,,
568,746,abouzyed.ms,could you please identify the exact location ( WH1,WH2 ,WH3,............etc )????,3/5/2013,0,,
569,745,abouzyed.ms,you can not use that area because that area is an evacuation area , it is not acceptable to block it.,3/5/2013,0,,
570,713,osman.mm,AbdelKarim, would you please call me for more details ( 01284226698 ),3/5/2013,0,,
571,57,mahmoud.a,please send me the item needed,3/6/2013,0,,
572,718,mahmoud.a,please send me the final as built as CMR,3/6/2013,0,,
573,755,abdelkhalek.ma,isolate the area of project close all false ceiling - close all the gap around the duct - IQOQ PQ protocol and closeout and add the protocol in VMP of FC department-,3/7/2013,0,,
574,755,abdelkhalek.ma,Maintain the premises area after work - inform QA leader ,3/7/2013,0,,
575,753,saadeldin.km,The change is not clear what you are going to do ????,3/9/2013,0,,
576,693,abdelkhalek.ma,the validation still not approved,3/10/2013,0,,
577,699,mahmoud.a,please send me the Required items,3/10/2013,0,,
578,718,mahmoud.a,please send me the Required items,3/10/2013,0,,
579,760,abdelkhalek.ma,initiate IQ OQ PQ protocol and close out and after success update the SOP and inform the QA leader ,3/11/2013,0,,
580,718,mahmoud.a,please send me the Required items to Close the CMR,3/11/2013,0,,
581,699,mahmoud.a,please send me the Required items to Close the CMR,3/11/2013,0,,
582,693,abdelkhalek.ma,the validation still not approved,3/12/2013,0,,
583,581,abdelkhalek.ma,still the validation didnt approve,3/12/2013,-1,,
584,642,abdelkhalek.ma,we need to review PQ protocol and close out for the new material size update the material sheet and RS - inform the QA leader- ,3/12/2013,0,,
585,642,abdelkhalek.ma,review the RKW protocol ,3/12/2013,0,,
586,640,abdelkhalek.ma,still the Q2 not completed,3/12/2013,0,,
587,639,abdelkhalek.ma,still the Q2 not completed,3/12/2013,0,,
588,638,abdelkhalek.ma,the Q2 not completed yet,3/12/2013,0,,
589,637,abdelkhalek.ma,Q2 still not completed ,3/12/2013,0,,
590,760,abdelmegid.i,sdfgdsfsdfdfdfdfdfdfdfdfdfd,3/12/2013,-1,,
591,760,abdelmegid.i,Rejected because it will increase the noise level on the operation line you can use the lighting as the  ambulance lighting for the same objective ,3/12/2013,0,,
592,615,shaker.mm,Please explain more - Include the scope of the project,3/12/2013,0,,
593,710,elsisy.aa,THE NAME OF PRODUCT IS ... YORK L,3/14/2013,0,,
594,708,elsisy.aa,THE NAME IS ...YORK H,3/14/2013,0,,
595,765,abdelkhalek.ma,the team get approval by another short sentense so we need to create new CM,3/14/2013,0,,
596,701,abdelkhalek.ma,still the close out not approved,3/18/2013,0,,
597,703,abdelkhalek.ma,still the validation didnt approved yet,3/18/2013,0,,
598,767,abdelkhalek.ma,create  PQ protocol and close out - add the validation in VMP- inform the QA leader ,3/18/2013,0,,
599,565,elsisy.aa,Olease provied the requirements of PSS. you are very late.,3/20/2013,0,,
600,741,shaker.mm,1- All connection flow should be fully drainable by design. 2- SS 316 L connection should be one piece and if there is any welding it should be done by orbital machine welding. 3- All related SOPs shlould be updated before start. 4- Operators should be qualified on the updated SOPs,3/20/2013,0,,
601,782,abdelazez.n,we need mor clacefecation  ,3/21/2013,0,,
602,748,elsisy.aa,whate you will do to get this target??,3/21/2013,0,,
603,703,abdelkhalek.ma,still the validation didnt approved yet,3/24/2013,0,,
604,777,abdelkhalek.ma,We need PQ protocol and close out and add the validation in VMP and inform the QA Leader ,3/24/2013,0,,
605,751,shaker.mm,1- All used pipes and connections should be SS316 L and and welding at any part of the system should be orbital welding by orbital welding machine. 2- All parts of the system should be compatble with the last updated clean design standard that is found on P&G engineering website.,3/24/2013,0,,
606,702,shaker.mm,The maximum working temperature for sanitization is 130 C which is not the case in Cairo as the temperature usualy exceed this limit (up to 150 C) and this casue damage to the internal parts of the pump especially the singe mechanical seal of the pump,8/7/2013,0,,
607,784,abouzyed.ms,description is not clear ,3/25/2013,0,,
608,780,osman.mm,Sherif, please get the input from the W/H QA leader (Ahmed Ragab),3/26/2013,0,,
609,796,barakat.t,my comment is closed,3/26/2013,0,,
610,789,osman.mm,Please call me for more setalis ( 01284226698 ),3/26/2013,0,,
611,802,abdelkhalek.ma,Isolate the project work area to prevent any spreading contaminant -Maintain the premises area after work ,3/27/2013,0,,
612,791,abdelkhalek.ma,Issue and approve validation protocol (IQ/OQ) before start -Issue and approve validation protocol (PQ/CQV) before start ,3/27/2013,0,,
613,791,abdelkhalek.ma,Issue and approve Validation summary report. Add this as item in the validation master plan and approve it before start. ,3/27/2013,0,,
614,794,elsisy.aa,You need to install VALVE FREE LINE not hole. please connect me to slove this problem.,3/28/2013,0,,
615,454,abdelkhalek.ma,where is the P&E approval ,3/28/2013,0,,
616,744,osman.mm,Khaled we need to discus this validation first,3/28/2013,0,,
617,806,abouzyed.ms,there was an agreement between WH and HSE to leave the offices empty .,3/31/2013,0,,
618,779,abouzyed.ms,the caravans is not acceptable specially when it be close to Scrap yard which is high Hazard area.  ,3/31/2013,0,,
619,779,elsisy.aa,I need to know the stander resone ,3/31/2013,0,,
620,780,abdelmegid.i,sherif the request scope is not clear please send me clear scope by mail and let me insert is to the request ,3/31/2013,0,,
621,766,assemkamel.mm,Please update the site single line diagram to reflect this change ,3/31/2013,0,,
622,421,abdelkhalek.ma,the cover of belt need to be closed totally ,3/31/2013,0,,
623,807,elsisy.aa,THE NAME IS     Carbon monoxide, carbon dioxide.,3/31/2013,0,,
624,790,osman.mm,Mohamed,would you please call me for more details,4/1/2013,0,,
625,829,osman.mm,Please share the layout including the place of this mask wash,4/1/2013,0,,
626,805,elsisy.aa,Allh Ynour. perfact action ,4/2/2013,0,,
627,831,abdelmegid.i,Ibrahim, the scope is not clear please send me clear scope by mail to insert it in the request,4/2/2013,0,,
628,805,assemkamel.mm,Please provide more detailed description about the impact of this change on the Tower control system,4/2/2013,0,,
629,772,ali.bb,Please review with me first the exact route of the pipe if its going to pass over the new PSG Building expansion.,4/2/2013,0,,
630,837,osman.mm,AbdelKarim, please call for meeting for clear understanding,4/2/2013,0,,
631,801,elsisy.aa,what is the pandel,4/3/2013,0,,
632,821,elsisy.aa,Product code  /  453833-DE34,4/3/2013,0,,
633,840,abouzyed.ms,this is an evacuation area and we need to increase the space of it because the area is not enough , this change will decrease the space of the evacuation area.,4/4/2013,0,,
634,836,osman.mm,Drinking and eating is not allowed in the operation area,4/4/2013,0,,
635,841,samyhee.aa,Provide the carten specifications and electrical loads ,4/7/2013,0,,
636,842,elsisy.aa,please, provied process descraption and updated P&ID with the change to understand.,4/7/2013,0,,
637,839,samyhee.aa,Electrical load measurment for the fan,4/8/2013,0,,
638,797,abouzyed.ms,please ,4/8/2013,0,,
639,848,sharafeldin.cm,you provide us by 2 air condition not 3 ???? , i think there is a something wrong ?,4/8/2013,0,,
640,647,osman.mm,This CMR is approved as temporary use for only three months and after that time we should stop this process till getting final conclusion.,4/8/2013,0,,
641,851,assemkamel.mm,Please provide more details how will it be automated?,4/9/2013,0,,
642,843,abouzyed.ms,the change is not clear , please provide more data.,4/9/2013,0,,
643,843,abdelkhalek.ma,the change is not clear , please provide more data and how you do this change on the floor,4/9/2013,0,,
644,858,samyhee.aa,Electrical load measurment ,4/10/2013,0,,
645,858,osman.mm,Please share the layout,4/11/2013,0,,
646,861,samyhee.aa,Electrical load measurment for the fan,4/11/2013,0,,
647,824,elsisy.aa,trad name is Anti-Wear 68 Hydraulic Oil,4/11/2013,0,,
648,842,elsisy.aa,Still need to get drawing and updated P&ID,4/11/2013,0,,
649,811,elsisy.aa,660 Silicone Lubricant (Aerosol),4/11/2013,0,,
650,861,abdelhady.m,no need the Electrical load because we had old  fan & we just replace it .,4/11/2013,0,,
651,844,elsisy.aa,the product name is Loctite 7063,4/11/2013,0,,
652,823,elsisy.aa,PRODUCT CODE(S): 7124002120, 7124002400, 7124012400, 7124035203,4/11/2013,0,,
653,858,elsisy.aa,BFT floor is contain the FP that includ Soudum percarbonate. The PC3 is decompostion with heat predusing Very high heat and vapore. So, I couldn't to give approvel for this CMR. sorry.,4/11/2013,0,,
654,854,elsisy.aa,Said has updated the sengle line diagram.,4/11/2013,0,,
655,865,abouzyed.ms,please provide more data , the change is not clear >>> is it electrical forks or hydraulic ........etc,4/15/2013,0,,
656,865,samyhee.aa,Electrical load measurment ,4/15/2013,0,,
657,865,osman.mm,please send any photo or specs of the new fork and where it wil install exactly,4/15/2013,0,,
658,838,abdelkhalek.ma,need validation PQ approved from QA ,4/16/2013,0,,
659,872,shaker.mm,The product will expose to very high microbial contamination risk,4/16/2013,0,,
660,850,osman.mm, This is after the fact i knew by co-incident that  this trail is already conducted last week while i just received the CMR,4/17/2013,0,,
661,857,osman.mm,This is not allowed , you should use the orginal parts from the original source.,4/17/2013,0,,
662,851,osman.mm,Please provide more details how will it be automated?,4/17/2013,0,,
663,854,shaker.mm,Ahmed, please describe how LSHH will be installed or attached to the tanks?,4/17/2013,0,,
664,801,mahmoud.a,Please send me the item below ,4/17/2013,0,,
665,838,elsisy.aa,Paper -RP KG 37gsm,4/18/2013,0,,
666,865,elsisy.aa,wher will these forks will be charged ??,4/18/2013,0,,
667,842,elsisy.aa,Still need to get drawing and updated P&ID,4/18/2013,0,,
668,868,elsisy.aa,whate is the spesifications?,4/18/2013,0,,
669,871,abouzyed.ms,please provide the material data sheet to make sure that the melting point is 200 C,4/20/2013,0,,
670,842,elsisy.aa,Still need to get drawing and updated P&ID,4/21/2013,0,,
671,764,elsisy.aa,I didn't get the requirments yet.,4/21/2013,0,,
672,238,mahmoud.a,Please send me the as built,4/21/2013,0,,
673,699,mahmoud.a,please send me the item belw ,4/21/2013,0,,
674,874,osman.mm,Mhmoud please secify which conveyor you will change,4/21/2013,0,Ground level Conveyors ,Inclined Conveyors and Manual Packing Conveyors .,4/23/2013
675,851,romeih.i,By change manual  valves tobe automatic valves&put software,4/21/2013,0,,
676,874,samyhee.aa,Electrical load measurment,4/22/2013,0,,
677,882,abouzyed.ms,the light in this area should be Soduim fixture incluser .,4/22/2013,0,,
678,886,elsisy.aa,If you signed that it is chemical clearance. then you have to attach the MSDS of the material.,4/23/2013,0,,
679,347,elsisy.aa,the updated PSS is in prograss of update. but not yet.,4/23/2013,0,,
680,642,elsisy.aa,the product name is Hyfol PP-FCP,4/23/2013,0,,
681,889,elsisy.aa,please invite HSE team for meeting to clarify. Location, cabacity,fual kind, storage of fual,.....etc is important.,4/23/2013,0,,
682,889,abohadid.fa,Please invite me to this meeting ,4/23/2013,0,,
683,889,alisaad.ki,Gas consumption to be tracked on a monthly basis to be included in E-green data / I need the approximate consumption per year,4/23/2013,0,,
684,886,salem.rs,Ahmed the White bags used is the same material that we use now just with out printing,4/23/2013,0,,
685,897,abdelaziz.ze,I need moor deteailes,4/24/2013,0,,
686,831,mahmoud.a,Please Send me the belw Items,4/24/2013,0,,
687,895,elsisy.aa,the product name is      MacConkey Agar,4/24/2013,0,,
688,869,elsisy.aa,sorry, there was aproblem in my system.  I need to install Nitrogin detector in the generator room and another in the work place to give alarm in case of N2 leakage. this have to be before start-up. ,4/24/2013,0,,
689,901,abouzyed.ms,please provide the MSDS because this is not MSDS.,4/25/2013,0,,
690,347,mahmoud.a,please send me the items below,8/13/2013,0,,
691,804,mahmoud.a,please send me the items belw,4/26/2013,0,,
692,421,mahmoud.a,Please send me the items below,4/26/2013,0,,
693,635,mahmoud.a,Please send me the items below,4/26/2013,0,,
694,699,mahmoud.a,Please send me the items below,4/26/2013,0,,
695,456,mahmoud.a,Please send me the items below,4/26/2013,0,,
696,504,mahmoud.a,Please send me the items below,4/26/2013,0,,
697,701,abdelkhalek.ma,still the close out not approved,4/28/2013,0,,
698,693,abdelkhalek.ma,the validation still not approved,4/28/2013,0,,
699,638,abdelkhalek.ma,the Q2 not completed yet,4/28/2013,0,,
700,454,abdelkhalek.ma,where is the P&E approval ,4/28/2013,0,,
701,640,abdelkhalek.ma,still the Q2 not completed,4/28/2013,0,,
702,421,abdelkhalek.ma,the cover of belt need to be closed totally and still have gab,4/28/2013,0,,
703,703,abdelkhalek.ma,still the validation didnt approved yet,4/28/2013,0,,
704,886,abdelkhalek.ma,we need protocol and close out report of EO ,4/28/2013,0,,
705,640,abdelkhalek.ma,still the Q2 not completed,4/28/2013,0,,
706,900,elsisy.aa,Catalog Codes: SLB3979,4/29/2013,0,,
707,902,elsisy.aa,the flash point of some perfumes is less than 75C. So, this change should lead to fire. sorry, dissapprove. ,4/29/2013,-1,,
708,903,elsisy.aa,please, update this on the P&ID. ,4/29/2013,0,,
709,896,elsisy.aa,the name of product is defrent of the MSDS. please attach the oragenal MSDS or change the name on CMR.,4/29/2013,0,,
710,901,elsisy.aa,the attached is not the MSDS for this product.,4/29/2013,0,,
711,657,elsisy.aa,the product name is    723 Sbrasolvo. You should update the MSDS acording to REACH 2010.,4/29/2013,0,,
712,903,assemkamel.mm,does this only for trial or it is for daily operation ??,4/29/2013,0,,
713,912,osman.mm,Please share the layout and the design including the height of the tail from the pump/floor.,4/29/2013,0,,
714,910,samyhee.aa,Electrical load measurment ,4/29/2013,0,,
715,454,abdelkhalek.ma,where is the P&E approval ,4/29/2013,0,,
716,883,oweda.ma,Cinderella, the Film diameter itself will not change at all. it is just changing a mechanical part in the machine,4/29/2013,0,,
717,639,abdelkhalek.ma,still the Q2 not completed,4/30/2013,0,,
718,919,osman.mm,please share the layout with the proposed modifications,4/30/2013,0,Done,10/24/2013
719,910,abouzyed.ms,please provide layout.,5/4/2013,0,,
720,581,abdelkhalek.ma,still the validation didnt approve,5/7/2013,-1,,
721,884,abdelkhalek.ma,still the validation didnt approve,5/7/2013,0,,
722,827,abdelkhalek.ma,still the work not done,5/7/2013,0,,
723,701,abdelkhalek.ma,still the close out not approved,5/7/2013,0,,
724,703,abdelkhalek.ma,still the validation didnt approved yet,5/7/2013,0,,
725,693,abdelkhalek.ma,the validation still not approved,5/7/2013,0,,
726,640,abdelkhalek.ma,still the Q2 not completed,5/7/2013,0,,
727,454,abdelkhalek.ma,where is the P&E approval ,5/7/2013,0,,
728,421,abdelkhalek.ma,the cover of belt need to be closed totally and still have gab,5/7/2013,0,,
729,926,osman.mm,Hossam, please share the layout for the proposed change,5/7/2013,0,,
730,919,osman.mm,please share the layout with the proposed modifications and more details for this change,5/7/2013,0,Done,10/24/2013
731,924,samyhee.aa,Clarify More specifically place,5/7/2013,0,,
732,909,osman.mm,Ahmed, please call for more understanding,5/8/2013,0,,
733,434,mahmoud.a,please send me the items below,5/8/2013,0,,
734,574,mahmoud.a,please send me the items below,5/8/2013,0,,
735,909,elsisy.aa,As I descussed with Ahmed Mousa, This will be one run for every fourmila to determind the citerline and get sampels to send to Dammam. There  is lower MITIT, and Pmax. ,5/9/2013,0,,
736,921,shaker.mm,Do Microbial assessment on supplier supply chain,5/9/2013,0,Done by Dammam Plant,10/24/2013
737,921,shaker.mm,Microbial testing for the first 10 shipments,5/9/2013,0,,
738,854,shaker.mm,Close the gab between the end of the sensor and its surrounding with SS 316 L and make it with no right angles,5/9/2013,0,,
739,854,shaker.mm,Orbital Welding is required,5/9/2013,0,,
740,382,mahmoud.a,please send me the items below ,5/9/2013,0,,
741,913,elsisy.aa,Is there are new RMS for the same perfumes using in BS line3 and have chemical clearance????????  please clerifay.,5/11/2013,0,,
742,884,abdelkhalek.ma,still the validation didnt approved yet,5/12/2013,0,,
743,912,shaker.mm,1- Sampling Cabinet wide enough to collect 10 paste samples 2- Operation person should attend sampling process to open the container door 3- Security lock with serial number is required to be fixed on the container door lock in the presence of operation, Security and lab person 4- Security lock data will be recorded "Date, Security lock Serial, lab person, operation person and security persons,...",5/13/2013,0,,
744,912,shaker.mm,5- Sampling will be done once per week for all paste containers that are in place 6- Container door lock will be opened in the plant in the presence of lab person if it was in shift B or in the presence of security persons in both shift C and A 7- Data of Security lock will be recoded and reviewed vs. the data of the lock serial lock in sampling place 8- In case of any damage in the security lock or any mismatching in data, Containers should be refused and quality alert should be issued and communicated with central QA team by the discoverer,5/13/2013,0,,
745,912,shaker.mm,9- Release will be after 72 hrs after the end of sampling date 10- the release process will be in the plant. 11- Update Operation SOP to include all new steps in the new process,5/14/2013,0,,
746,943,abdelkhalek.ma,do Line clearance to ensure no mix up ,5/13/2013,0,,
747,884,abdelkhalek.ma,still the validation didnt approved yet,5/14/2013,0,,
748,842,elsisy.aa,I reviewed and the pistem is out of classafied area. OK,5/14/2013,0,,
749,924,osman.mm,Salem, the eating and drinking is forbidden in the operation area, you need to build a meeting room and put this dispenser on it . this CMR will be rejected,5/14/2013,0,,
750,880,mahmoud.a,please send me the items below,5/16/2013,0,,
751,957,elsisy.aa,product name is   EMPTY- ARIEL HS OW3 WTOD Egypt - CAIRO,5/17/2013,0,,
752,913,elsisy.aa,Is there is any new perfum?  if yes, It shuould be chemical clearance for every material.,5/17/2013,0,The below perfumes are the same perfumes already running at Line 3 and chemical clerance were issued for them before.,5/26/2013
753,945,elsisy.aa,the ventlation of the BC room will be decreased. hold the project untill install new forsed ventlation.,5/17/2013,0,,
754,929,elsisy.aa,the product name is    Avoid contact with strong oxidisers,5/17/2013,0,,
755,581,abdelkhalek.ma,still the validation didnt approve,5/19/2013,-1,,
756,454,abdelkhalek.ma,where is the P&E approval ,5/19/2013,0,,
757,980,samyhee.aa,Electrical load measurment ,5/22/2013,0,,
758,980,samyhee.aa,More description of the place,5/22/2013,0,,
759,923,samyhee.aa,Electrical load measurment ,5/22/2013,0,,
760,904,samyhee.aa,Electrical load measurment ,5/22/2013,0,,
761,904,samyhee.aa,More description of the place,5/22/2013,0,,
762,790,mahmoud.a,please send me the items below,5/23/2013,0,,
763,970,abouzyed.ms,WH2 is not designated to store any flammble material,5/26/2013,0,,
764,994,abohadid.fa,Please attach layout .. needs to be aligned with the plant Master plan.,5/29/2013,0,,
765,384,mahmoud.a,send me the items below,5/30/2013,0,,
766,744,moghazy.k,Done , Plz approve ,6/3/2013,0,,
767,1027,abohadid.fa,Please attach a layout ..,6/3/2013,0,,
768,581,abdelkhalek.ma,still the validation didnt approve,6/3/2013,-1,,
769,454,abdelkhalek.ma,where is the P&E approval ,6/3/2013,0,,
770,703,abdelkhalek.ma,stille validation didnt approved yet th,6/27/2013,0,,
771,638,abdelkhalek.ma,the Q2 not completed yet,6/3/2013,0,,
772,640,abdelkhalek.ma,still the Q2 not completed,6/3/2013,0,,
773,884,abdelkhalek.ma,still the validation didnt approved yet,6/3/2013,0,,
774,421,abdelkhalek.ma,the cover of belt need to be closed totally and still have gab,6/3/2013,0,,
775,1032,abdelkhalek.ma,we need validation IQOQPQ and add the validation in VMP then review SOP and update if needed and add the photo eye in PM system or AM ,6/3/2013,0,,
776,747,abdelkhalek.ma,still the refrigerator didnt install ,6/4/2013,0,,
777,1027,osman.mm,Please add the layout to the CMR,6/4/2013,0,,
778,1035,elsisy.aa,firest of all the PSS must be done and prevint of any spillages during time of store Costic Soda in this pld tank in same Dike with HLAS. please provied the requirments in the CMR and attach all decumentations. then I can give you pre-approval. ,6/4/2013,0,,
779,991,elsisy.aa,he name of maerial is    Hydrex 1806,6/5/2013,0,,
780,990,elsisy.aa,the product name is   Hydrex 1410,6/5/2013,0,,
781,990,elsisy.aa,the chemical name is   Tannic Acid,6/5/2013,0,,
782,994,elsisy.aa,LAYOUT IS REQUIRED, ALSO THE ACTIVITY IN THE WORK STATION AND TOOLS WILL USED TO BE CLEARLY ATTACHED IN THE CMR.,6/5/2013,0,,
783,992,elsisy.aa,the attached is not MSDs. Please attach the right MSDS,6/5/2013,0,,
784,1035,elsisy.aa,the Costic Souda Should not store in the same dike with HLAS. for review (CBA# 4361),6/5/2013,0,,
785,1011,elsisy.aa,please clarify. the type of big bag and vendore data for the gib bag should attached in the requist,6/5/2013,0,,
786,977,elsisy.aa,the attached is not open. but I know that is flamable. this is big hazared.,6/5/2013,0,,
787,1014,elsisy.aa,this dust is explosive. the PVC should be ex-approved.,6/5/2013,0,,
788,1038,abdelkhalek.ma,maintain the premises around the board ,6/5/2013,0,,
789,464,elsisy.aa,need to claerification.  ????/,6/5/2013,0,,
790,1034,abohadid.fa,Which WH and for how long ?,6/5/2013,0,,
791,1028,assemkamel.mm,when will this change take place?,6/9/2013,0,,
792,701,abdelkhalek.ma,still the close out not approved,6/6/2013,0,,
793,801,mahmoud.a,Please send me the item below ,6/6/2013,0,,
794,320,mahmoud.a,Please send me the item below ,6/6/2013,0,,
795,1042,yasser.m,Have a narrow screen on the fans to prevent any birds or insect when not in use,6/6/2013,0,,
796,1007,abdelkhalek.ma,issue IQ OQ PQ protocol and get approval from QA and add the project in VMP then cover the belt totally in the part of tunnel area because its not GMP area  ,6/9/2013,0,,
797,1007,abdelkhalek.ma,update the belt in PM system and CO SOP ,6/9/2013,0,,
798,703,abdelkhalek.ma,still the validation didnt approved yet,6/9/2013,0,,
799,1044,abdelkhalek.ma,isolate the project area - stop the line during the project,6/9/2013,0,,
800,1044,abdelkhalek.ma,cover all the belts of line - remove all the RM and PM from the line and also FP pallets,6/9/2013,0,,
801,901,elsisy.aa,tyhe MSDS have to be attached. the exist is not MSDS.,6/9/2013,0,,
802,638,abdelkhalek.ma,the Q2 not completed yet,6/10/2013,0,,
803,640,abdelkhalek.ma,still the Q2 not completed,6/10/2013,0,,
804,639,abdelkhalek.ma,still the Q2 not completed,6/10/2013,0,,
805,1034,yasser.m,Store in class A WH, fully isolated fully identified ,6/10/2013,0,,
806,1034,yasser.m,Fully comply with the storage condtions ,6/10/2013,0,,
807,1046,osman.mm,Pleas share the drawing or need to see in the floor,6/11/2013,0,,
808,1015,osman.mm,any remnant of this material must be scraped and not use in the normal production,6/11/2013,0,,
809,701,abdelkhalek.ma,still the close out not approved,6/12/2013,0,,
810,454,abdelkhalek.ma,where is the P&E approval ,6/12/2013,0,,
811,1045,elsisy.aa,the product name is   AE1S Agglomerate,6/12/2013,0,,
812,869,abdelhady.m,done ,6/13/2013,-1,,
813,869,abdelhady.m,Done For Nitrogen Detector .,6/13/2013,0,,
814,640,abdelkhalek.ma,still the Q2 not completed,6/19/2013,0,,
815,637,abdelkhalek.ma,Q2 still not completed ,6/19/2013,0,,
816,638,abdelkhalek.ma,the Q2 not completed yet,6/19/2013,0,,
817,1048,abdelkhalek.ma,do the line clearance before and after to ensure all the EO material remove from the line and the FP not on the floor during the EO ,6/19/2013,0,,
818,701,abdelkhalek.ma,still the close out not approved,6/19/2013,0,,
819,747,abdelkhalek.ma,still the refrigerator didnt install ,6/20/2013,0,,
820,1026,abdelkhalek.ma,still the exception not done,6/20/2013,-1,,
821,1054,osman.mm,Ahmed,would you please invite a meeting for disgen review,6/21/2013,0,,
822,1052,osman.mm,Will be included in the in the project review,6/21/2013,0,,
823,1051,osman.mm,Need more detalis , please call or invite for a meeting,6/21/2013,0,,
824,1026,abdelkhalek.ma,still the exception not done,6/23/2013,-1,,
825,902,abdelkhalek.ma,still the validation didnt approve,6/23/2013,0,,
826,581,abdelkhalek.ma,still the validation didnt approve,6/23/2013,-1,,
827,796,abdelkhalek.ma,my comment is closed,6/23/2013,0,,
828,581,abdelkhalek.ma,still the validation didnt approve,6/23/2013,-1,,
829,454,abdelkhalek.ma,where is the P&E approval ,6/24/2013,0,,
830,1067,abdelhakem.ae,Where it will be stored ?,6/24/2013,0,in the buggy floor ,6/25/2013
831,1054,abohadid.fa,Need to discuss it from Master plan POV,6/24/2013,0,,
832,664,elsisy.aa,The MSDS is not updated. please update it from the supplier and attach in the requist.,6/25/2013,0,,
833,455,elsisy.aa,I still didn't get the data requirments,6/26/2013,0,,
834,455,elsisy.aa,I didn't get the data required yet,6/26/2013,0,,
835,450,elsisy.aa,Flam arrestor on the dobanol pre-wight is not installed yet. So the status still in progress,6/26/2013,0,,
836,764,elsisy.aa,I didn't get the requirments yet.,6/26/2013,0,,
837,565,elsisy.aa,I STILL WAIT TO GET the requirements of PSS. you are very late.,6/26/2013,0,,
838,581,abdelkhalek.ma,still the validation didnt approve,6/27/2013,-1,,
839,703,abdelkhalek.ma,still the validation didnt approved yet,6/27/2013,0,,
840,421,abdelkhalek.ma,the cover of belt need to be closed totally and still have gab,6/27/2013,0,,
841,701,abdelkhalek.ma,still the close out not approved,6/27/2013,0,,
842,701,abdelkhalek.ma,still the close out not approved,7/4/2013,0,,
843,581,abdelkhalek.ma,still the validation didnt approve,7/4/2013,-1,,
844,637,abdelkhalek.ma,Q2 still not completed ,7/4/2013,0,,
845,1018,mahmoud.a,please send me the items below ,7/7/2013,0,,
846,703,abdelkhalek.ma,still the validation didnt approved yet,7/8/2013,0,,
